idx,label
0,7
1,8
2,2
3,8
4,0
5,9
6,7
7,1
8,1
9,7
10,6
11,9
12,5
13,5
14,8
15,8
16,8
17,0
18,8
19,3
20,8
21,3
22,1
23,2
24,2
25,7
26,9
27,5
28,8
29,9
30,7
31,3
32,0
33,7
34,9
35,0
36,4
37,0
38,9
39,4
40,0
41,1
42,4
43,7
44,5
45,0
46,2
47,8
48,7
49,7
50,5
51,8
52,4
53,4
54,4
55,7
56,6
57,0
58,1
59,4
60,7
61,4
62,1
63,3
64,3
65,0
66,8
67,2
68,9
69,3
70,1
71,7
72,2
73,7
74,2
75,9
76,5
77,4
78,5
79,0
80,3
81,0
82,1
83,5
84,8
85,3
86,8
87,7
88,3
89,0
90,7
91,0
92,6
93,7
94,3
95,2
96,9
97,1
98,7
99,0
100,1
101,2
102,9
103,1
104,6
105,8
106,2
107,2
108,3
109,4
110,0
111,6
112,4
113,7
114,8
115,6
116,6
117,1
118,4
119,4
120,3
121,8
122,6
123,6
124,9
125,6
126,1
127,7
128,3
129,4
130,9
131,5
132,2
133,7
134,2
135,6
136,8
137,4
138,4
139,3
140,6
141,0
142,8
143,9
144,0
145,8
146,7
147,7
148,7
149,9
150,4
151,2
152,5
153,5
154,5
155,5
156,6
157,2
158,6
159,2
160,7
161,2
162,2
163,5
164,1
165,7
166,7
167,8
168,4
169,8
170,2
171,7
172,2
173,1
174,8
175,5
176,8
177,0
178,8
179,2
180,7
181,9
182,0
183,3
184,2
185,9
186,2
187,9
188,7
189,4
190,7
191,7
192,8
193,6
194,5
195,3
196,3
197,9
198,3
199,4
200,0
201,3
202,7
203,1
204,6
205,3
206,5
207,8
208,2
209,5
210,9
211,5
212,2
213,0
214,1
215,8
216,4
217,4
218,1
219,8
220,7
221,4
222,6
223,4
224,6
225,4
226,0
227,6
228,2
229,6
230,7
231,1
232,7
233,9
234,5
235,8
236,2
237,7
238,3
239,9
240,3
241,2
242,3
243,4
244,3
245,6
246,7
247,2
248,8
249,6
250,9
251,2
252,1
253,3
254,9
255,2
256,7
257,4
258,8
259,8
260,2
261,9
262,7
263,0
264,0
265,5
266,7
267,7
268,0
269,7
270,0
271,3
272,1
273,9
274,2
275,5
276,8
277,2
278,7
279,5
280,7
281,6
282,3
283,6
284,9
285,1
286,2
287,0
288,7
289,4
290,6
291,1
292,6
293,9
294,0
295,0
296,2
297,3
298,8
299,5
300,0
301,7
302,9
303,6
304,7
305,2
306,8
307,5
308,2
309,4
310,2
311,4
312,7
313,8
314,6
315,2
316,8
317,3
318,4
319,9
320,4
321,4
322,0
323,2
324,1
325,6
326,7
327,5
328,6
329,8
330,1
331,4
332,8
333,4
334,0
335,9
336,1
337,5
338,3
339,4
340,8
341,9
342,7
343,4
344,3
345,9
346,2
347,5
348,3
349,0
350,5
351,5
352,3
353,9
354,8
355,4
356,2
357,3
358,0
359,2
360,6
361,3
362,0
363,4
364,3
365,4
366,6
367,4
368,6
369,6
370,8
371,1
372,9
373,1
374,5
375,2
376,1
377,4
378,8
379,8
380,2
381,1
382,0
383,5
384,1
385,9
386,8
387,8
388,3
389,5
390,0
391,9
392,6
393,5
394,1
395,9
396,1
397,6
398,7
399,6
400,7
401,9
402,0
403,0
404,6
405,1
406,8
407,3
408,6
409,9
410,5
411,7
412,3
413,5
414,4
415,7
416,4
417,4
418,4
419,7
420,3
421,5
422,4
423,5
424,8
425,9
426,9
427,6
428,3
429,5
430,9
431,8
432,1
433,2
434,4
435,5
436,5
437,9
438,3
439,0
440,9
441,2
442,8
443,4
444,3
445,2
446,6
447,1
448,5
449,9
450,7
451,0
452,9
453,0
454,1
455,0
